lon,lat,name,address,pname,cityname,business_area,type
104.127756,30.943625,西部风物流(濛阳营业部),[],四川省,成都市,,生活服务;物流速递;物流速递
103.957233,30.982043,中国邮政便民服务,[],四川省,成都市,天彭,生活服务;生活服务场所;生活服务场所
103.888541,31.025684,中国邮政便民服务,彭白路,四川省,成都市,,生活服务;生活服务场所;生活服务场所
103.968747,30.990386,中通快运,调露寺东路63号,四川省,成都市,天彭,生活服务;物流速递;物流速递
104.001491,31.163707,中国邮政,湔红路,四川省,成都市,,生活服务;邮局;邮局
103.912251,31.189444,白鹿邮政代办所,水观村森林美地小区,四川省,成都市,,生活服务;邮局;邮局
103.878125,30.975385,中通快运,[],四川省,成都市,,生活服务;物流速递;物流速递
103.957607,30.961970,中通快运,天彭镇青白江东路111号,四川省,成都市,致和,生活服务;物流速递;物流速递
103.970968,30.996136,成都市鸿顺康物流有限责任公司,天彭街道回龙东路270号,四川省,成都市,,生活服务;物流速递;物流速递
103.854063,31.067135,彭州市丹景山镇农村电子商务物流中心,[],四川省,成都市,,生活服务;物流速递;物流速递
103.932607,30.953497,四川诺特冷链物流有限公司,致和镇健康大道198号,四川省,成都市,,生活服务;物流速递;物流速递
103.951125,31.012521,彭州兴博达物流有限公司,锦阳东路了53号,四川省,成都市,,生活服务;物流速递;物流速递
104.121369,30.945720,成都恒昌运通物流有限公司,四川国际农产品交易中心8号出入口对面,四川省,成都市,,生活服务;物流速递;物流速递
103.837047,30.953928,成都巨仓物流有限公司,[],四川省,成都市,,生活服务;物流速递;物流速递
103.948154,30.980423,四川坤特麦斯物流有限公司,[],四川省,成都市,天彭,生活服务;物流速递;物流速递
103.950645,31.014718,成都新正兴物流有限公司,[],四川省,成都市,,生活服务;物流速递;物流速递
103.868114,31.046465,皓晨物流有限公司,隆裕街,四川省,成都市,隆丰,生活服务;物流速递;物流速递
103.961674,31.015602,成都驰伟物流有限公司,[],四川省,成都市,,生活服务;物流速递;物流速递
103.966352,30.990986,成都强昇物流有限公司,牡丹北路东段,四川省,成都市,天彭,生活服务;物流速递;物流速递
104.142172,30.999062,成都北新不锈钢物流有限公司,三界镇袛园村,四川省,成都市,,生活服务;物流速递;物流速递
104.117597,30.936979,中铁物流四川有限公司蒙阳营业部,蒙阳镇蒙兴东路168号,四川省,成都市,,生活服务;物流速递;物流速递
103.939636,30.984046,彭州永莲物流配送有限公司,西大街71附近,四川省,成都市,天彭,生活服务;物流速递;物流速递
104.099577,30.946095,四川瓯锦物流有限公司,蒙阳镇伏龙小区996号12栋二单元,四川省,成都市,,生活服务;物流速递;物流速递
103.945649,30.934538,成都金克星物流有限公司,协和大道香颂园附近协和路129号,四川省,成都市,,生活服务;物流速递;物流速递
103.901351,30.976940,成都市金胜利物流有限公司,天彭镇亚东水泥厂(方圆动物药业对面),四川省,成都市,,生活服务;物流速递;物流速递
104.119118,30.947059,海南鸿运达物流有限公司,蒙三北路539号附近,四川省,成都市,,生活服务;物流速递;物流速递
103.869191,31.045016,兴丰源物流有限公司,隆裕街与兴隆大街交叉路口往北约100米,四川省,成都市,隆丰,生活服务;物流速递;物流速递
103.956874,30.963991,成都腾乐物流有限责任公司,清白江北路,四川省,成都市,致和街道,生活服务;物流速递;物流速递
103.966956,30.986701,云程物流彭州指挥部,汉彭路与105省道交叉口南100米二楼,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.926073,30.979496,峨眉西部风物流,天彭街道天人小区东四巷子77号,四川省,成都市,,生活服务;物流速递;物流速递
104.121882,30.939669,四川领鲜未来物流,濛三北路,四川省,成都市,,生活服务;物流速递;物流速递
104.117485,30.949879,成都欣蓉物流有限公司,学子路71号,四川省,成都市,,生活服务;物流速递;物流速递
103.926855,30.979633,四川君健物流有限公司,天人东四巷27号,四川省,成都市,,生活服务;物流速递;物流速递
103.913093,30.977175,彭州市亚利物流有限公司,天彭镇谢家村(亚东水泥厂旁边),四川省,成都市,,生活服务;物流速递;物流速递
103.864441,31.070032,彭州恒伟嘉润物流有限公司,丹景山东前村赵家巷子,四川省,成都市,,生活服务;物流速递;物流速递
103.966879,30.990592,成都潇顺物流有限公司,天彭镇调露寺西路44号,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.927129,30.980777,余氏东风物流(天人东一巷),天彭镇天人小区天人路19号,四川省,成都市,,生活服务;物流速递;物流速递
103.957829,30.961922,中铁物流集团,致和镇清白江东路103号,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.965936,30.972566,暴风物流,花龙西路1东南60米,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.927414,30.979670,三志物流,[],四川省,成都市,,生活服务;物流速递;物流速递
103.952253,30.950471,速通物流,西河东路166号29栋1号,四川省,成都市,,生活服务;物流速递;物流速递
103.925532,30.980723,宇鑫物流,天人东一巷72号西南方,四川省,成都市,,生活服务;物流速递;物流速递
104.107165,31.024262,佳捷物流,三界北街与西南巷交叉口东南50米,四川省,成都市,,生活服务;物流速递;物流速递
104.097967,30.946764,永辉物流,兴农西路388号,四川省,成都市,,生活服务;物流速递;物流仓储场地
103.948280,30.929167,丹郡湖岸申通快递,致和镇协和路399号10栋附101号,四川省,成都市,,生活服务;物流速递;物流速递
104.107567,31.021791,彭州市三界邮政代办所,三界镇三界南街158号,四川省,成都市,,生活服务;邮局;邮局
104.017009,31.022822,升平邮政代办所,升平镇升玉南街315号,四川省,成都市,,生活服务;邮局;邮局
103.973507,30.948465,菜鸟快递驿站,致斑路,四川省,成都市,,生活服务;物流速递;物流速递
103.874401,30.974204,中国邮政便民服务站(惠民老邻居副食店),丽蓉大道285西北方向180米,四川省,成都市,,生活服务;生活服务场所;生活服务场所
103.945621,30.944108,韵达,贤清南路与护贤西一路交叉路口往南约100米,四川省,成都市,致和,生活服务;物流速递;物流速递
103.931334,30.941211,韵达GROUND,致和镇黑龙泉小区19栋1单元,四川省,成都市,,生活服务;物流速递;物流速递
103.944444,30.978713,中通彭州东南街公司,天彭镇东南市街157号,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.850612,31.065305,中国邮政快邮驿站,[],四川省,成都市,,生活服务;邮局;邮政速递
103.936623,30.992340,中国邮政便民服务站,[],四川省,成都市,天彭,生活服务;生活服务场所;生活服务场所
103.911802,31.189261,中国邮政便民服务站,[],四川省,成都市,,生活服务;生活服务场所;生活服务场所
104.007647,30.967957,中国邮政便民服务站,[],四川省,成都市,,生活服务;生活服务场所;生活服务场所
103.807152,30.966533,中国邮政便民服务站,北桂路,四川省,成都市,,生活服务;生活服务场所;生活服务场所
103.942037,30.986402,彭州市北大街邮政所,北大街109号,四川省,成都市,天彭,生活服务;邮局;邮局
103.936392,30.981473,彭州申通快递有限公司西海北街营业部,西海北街68-70号,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.830551,30.979595,中国邮政村邮站,[],四川省,成都市,,生活服务;邮局;邮政速递
103.856906,30.975764,彭州市三五邮政代办所,丽春镇荷花路5719工厂,四川省,成都市,,生活服务;邮局;邮局
103.837812,30.952760,北君平邮政代办所,丽春镇,四川省,成都市,,生活服务;邮局;邮局
103.949758,30.975517,彭州市朝阳南路邮政所,朝阳南路372号,四川省,成都市,天彭,生活服务;邮局;邮局
103.960012,30.987611,彭州市金彭东路邮政所,金彭东路158号,四川省,成都市,天彭,生活服务;邮局;邮局
103.875718,30.973095,彭州市丽春邮政支局,丽春镇丽蓉大道208-210号,四川省,成都市,,生活服务;邮局;邮局
103.851003,31.071899,彭州市九陇邮政支局,丹景山镇南郡西街31号,四川省,成都市,,生活服务;邮局;邮局
103.927022,30.991830,德邦快递彭州营业部,滨河路302-305,四川省,成都市,天彭,生活服务;物流速递;物流速递
103.956803,30.987432,丰巢快递柜(置信·逸都城),天彭街道金彭东路122号置信逸都城逸都中心写字楼百博教育,四川省,成都市,天彭,生活服务;生活服务场所;生活服务场所
103.935945,30.939698,荣鑫顺物流(彭州)办事处,南部新城黑龙泉小区47-7-101,四川省,成都市,,生活服务;物流速递;物流速递
103.860198,30.974420,德邦快递取货点,丽春镇荷花路144号,四川省,成都市,,生活服务;生活服务场所;生活服务场所
103.918068,30.989589,京东物流(成都天彭营业部),天彭镇白马社区12栋4单元,四川省,成都市,,生活服务;物流速递;物流速递
103.949936,30.979136,吉泰物流(四川分公司),新民东街6号-附8号附近,四川省,成都市,天彭,生活服务;物流速递;物流速递
