lon,lat,name,address,pname,cityname,business_area,type
103.934493,30.635889,灿坤物流,成新蒲大道辅路,四川省,成都市,九江,生活服务;物流速递;物流速递
104.000333,30.536093,鹏运物流,成渝环线高速与光电路交叉路口往西南约50米,四川省,成都市,,生活服务;物流速递;物流速递
104.002839,30.496723,安际物流,温家山北路,四川省,成都市,,生活服务;物流速递;物流速递
103.884681,30.575286,天丰物流有限公司(成都分公司),花园路,四川省,成都市,,生活服务;物流速递;物流速递
103.900524,30.655747,神鹰汇物流有限公司,双九路五段,四川省,成都市,九江,生活服务;物流速递;物流速递
103.956987,30.516576,牧山贾厨师仓储物流基地,文葛路,四川省,成都市,,生活服务;物流速递;物流速递
104.020857,30.561429,成都开江物流,成渝环线高速(成都华丰食品城),四川省,成都市,白家,生活服务;物流速递;物流速递
103.901055,30.660061,顺心捷达快运物流,九江镇邹家场社区2组4号成互电器公司院内,四川省,成都市,九江,生活服务;物流速递;物流速递
104.030645,30.310312,实惠配送,东二街,四川省,成都市,籍田街道,生活服务;物流速递;物流速递
103.917262,30.637299,先航物流,九龙大道(九江线缆公司美河物流园),四川省,成都市,九江,生活服务;物流速递;物流速递
103.894090,30.544975,成都一汽新悦物流有限公司,双楠大道,四川省,成都市,,生活服务;物流速递;物流速递
104.122156,30.511714,聚得利物流,新华路(天府建材城西侧约50米),四川省,成都市,,生活服务;物流速递;物流速递
103.827395,30.568005,四川如懿通物流有限公司,双流区彭镇金桥社区茂生街62号,四川省,成都市,,生活服务;物流速递;物流速递
103.922475,30.644347,富盛物流,[],四川省,成都市,九江,生活服务;物流速递;物流速递
103.922042,30.644660,成都玥溪物流有限公司,[],四川省,成都市,九江,生活服务;物流速递;物流速递
103.936454,30.625045,金牛区杰坤(飞达)托运部,柑通路,四川省,成都市,九江,生活服务;物流速递;物流速递
104.055806,30.531655,迪亚斯物流,益州大道南段,四川省,成都市,,生活服务;物流速递;物流速递
103.934090,30.601333,金四达物流,葛陌路(四川金恒德国际汽车广场),四川省,成都市,东升,生活服务;物流速递;物流速递
103.930373,30.600093,神鹰汇物流,星空路二段与航空路交叉路口往东约150米,四川省,成都市,东升,生活服务;物流速递;物流速递
103.935451,30.635768,好兄弟物流,成新蒲大道辅路,四川省,成都市,九江,生活服务;物流速递;物流速递
104.095151,30.531879,成都市欣骏捷货运有限公司,观东一街与应龙南三路交叉路口东北侧(蓝光金悦派),四川省,成都市,,生活服务;生活服务场所;生活服务场所
104.170363,30.482691,成都昱霖隆运输有限责任公司,[],四川省,成都市,,生活服务;物流速递;物流速递
103.922745,30.644088,启航货运,大井西街,四川省,成都市,九江,生活服务;物流速递;物流速递
103.900704,30.655232,轩超物流,双九路五段,四川省,成都市,九江,生活服务;物流速递;物流速递
103.916714,30.637518,黑客物流,九龙大道与九洋路交叉路口往东约150米,四川省,成都市,九江,生活服务;物流速递;物流速递
103.890518,30.584734,双流区廷洪货运部,[],四川省,成都市,,生活服务;物流速递;物流速递
103.914578,30.637936,飞驰物流,九江镇大井村九龙路16号,四川省,成都市,九江,生活服务;物流速递;物流仓储场地
103.918601,30.623174,通城快运,雁鹅中路与泉葫路交叉路口北侧(雁鹅塘安置小区),四川省,成都市,九江,生活服务;物流速递;物流速递
103.934727,30.635822,惠捷物流,成新蒲大道辅路,四川省,成都市,九江,生活服务;物流速递;物流速递
103.918907,30.623507,速通物流,雁鹅中路与雁鹅路上街交叉路口东南侧,四川省,成都市,九江,生活服务;物流速递;物流速递
104.142790,30.474431,四川叁力合物流有限公司,成环路,四川省,成都市,,生活服务;物流速递;物流速递
104.052183,30.267091,通城快运,成仁路,四川省,成都市,,生活服务;物流速递;物流速递
103.928331,30.620708,华迅物流,草金路(新亚教育艺术培训学校东南侧约150米),四川省,成都市,九江,生活服务;物流速递;物流速递
103.901634,30.655926,新天余物流,双九路五段(成都仁万仓储服务有限公司),四川省,成都市,九江,生活服务;物流速递;物流速递
103.967186,30.547160,餐北斗物流(成都配送中心),西航港大道会缘路666号附3号,四川省,成都市,,生活服务;物流速递;物流速递
103.972505,30.552446,优迈特国际货运代理(成都)有限公司,航枢一路338、411号,四川省,成都市,,生活服务;生活服务场所;生活服务场所
104.018495,30.566889,三美商贸配送中心,大同路二段,四川省,成都市,,生活服务;物流速递;物流速递
103.924394,30.620284,重庆康平物流,星空路三段辅路,四川省,成都市,九江,生活服务;物流速递;物流速递
103.921893,30.644654,蓉达物流达州专线,大井西街,四川省,成都市,九江,生活服务;物流速递;物流速递
103.933517,30.601566,鸿展物流,金恒德国际汽配城盛泰物流园,四川省,成都市,东升,生活服务;物流速递;物流速递
103.854973,30.577297,潇湘物流,金彭路与双崇路交叉路口西侧,四川省,成都市,,生活服务;物流速递;物流速递
103.884934,30.575601,佳弘淇淇物流,花园路(中共双流区委党校北侧约150米),四川省,成都市,,生活服务;物流速递;物流速递
103.929013,30.621094,成都通发何胖快运,草金路,四川省,成都市,九江,生活服务;物流速递;物流速递
103.974965,30.535271,成都中储物流通润分库,双华路三段55号,四川省,成都市,,生活服务;物流速递;物流仓储场地
104.010121,30.571562,宁丰物流,顺风路,四川省,成都市,,生活服务;物流速递;物流速递
103.928572,30.620144,君速物流总部,[],四川省,成都市,九江,生活服务;物流速递;物流速递
104.009645,30.549663,成都鸿康农业物流配送中心,[],四川省,成都市,白家,生活服务;物流速递;物流速递
103.917567,30.635760,箭达物流,成新蒲大道与九龙大道交叉路口往东北约200米,四川省,成都市,九江,生活服务;物流速递;物流速递
103.995525,30.496302,即达配送,黄龙大道二段(家园佳居材料城西侧约50米),四川省,成都市,,生活服务;物流速递;物流速递
103.935174,30.635913,顺达成巴物流,成新蒲大道辅路,四川省,成都市,九江,生活服务;物流速递;物流速递
103.938469,30.620449,平顺物流,兴龙路与好顺路交叉路口往西南约50米,四川省,成都市,,生活服务;物流速递;物流速递
103.982608,30.578957,成都祥禾物流有限公司空港站,学府西路北四街,四川省,成都市,,生活服务;物流速递;物流速递
